"asset_id","asset_discipline","asset_work_description","location","start_mileage","end_mileage","project_number","project_name","delivery_year"
"000001323395","Electrification & Fixed Plant","Platform repairs.","Southampton Central",69,70,589751,"Project name 2","2015/16"
"000001323531","discipline 4","Refurbish TCS Block","Portsmouth Harbour",206,210,335521,"Project name 3","2019/20"
"000001323520","Electrification & Fixed Plant","Refurbish TCS Block","Clapham Junction",103,104,636215,"Project name 3","2016/17"
"000001323532","Electrification & Fixed Plant","Platform 2 Repairs","Shawford",212,216,437986,"Project name 1","2016/17"
"000001323383","Buildings","Asbestos management surveys","LSB Bournemouth SCC",568,574,702012,"Project name 1","2016/17"
"000001323587","Buildings","Canopy/Station Roof Repairs","Weybridge",275,281,586661,"Project name 1","2015/16"
"000001323520","discipline 4","Footbridge Repairs","FGW  Stations",825,827,234037,"Project name 1","2017/18"
"000001323614","Buildings","Platform Repairs","NDS's",767,768,926974,"Project name 3","2016/17"
"000001323520","Buildings","Canopy Repairs","Ryde Pier",371,372,764057,"Project name 3","2015/16"
"000001323697","Electrification & Fixed Plant","Waterproofing works to LUL areas","LMD Wimbledon LMD",587,589,192196,"Project name 3","2017/18"
"000001323416","Buildings","Ticket Office Refurb","LMD Wimbledon LMD",897,908,813863,"Project name 2","2015/16"
"000001323538","Electrification & Fixed Plant","Asbestos management surveys","Brockenhurst",58,60,500676,"Project name 2","2016/17"
"000001323381","Buildings","Refurbish TCS Block","Queenstown Road",790,794,511642,"Project name 3","2015/16"
"000001323565","discipline 3","Asbestos management surveys","Shawford",854,859,219262,"Project name 2","2019/20"
"000001323565","Electrification & Fixed Plant","Glazing Repairs to Concourse Canopy","Worcester Park",866,869,524350,"Project name 1","2019/20"
"000001323382","discipline 3","Asbestos management surveys","LSB Bournemouth SCC",784,789,885797,"Project name 2","2018/19"
"000001323416","discipline 3","Canopy Repairs","Whitchurch",202,205,143618,"Project name 1","2017/18"
"000001323519","discipline 4","Footbridge Repairs","Surbiton",208,211,429686,"Project name 2","2015/16"
"000001323697","Buildings","Canopy and Box Gutter Repairs","NDS Eastleigh LWRD",326,328,812267,"Project name 1","2018/19"
"000001323383","Buildings","HVAC Renewal","Micheldever",855,859,348576,"Project name 2","2018/19"
"000001323581","discipline 4","Glazing Repairs to Concourse Canopy","Norbiton",172,178,457286,"Project name 3","2016/17"
"000001323515","discipline 4","Station Building Roof Repairs","Vauxhall",29,35,944366,"Project name 3","2018/19"
"000001323688","Buildings","Ticket Office Refurb","SSWT Stations",43,44,880272,"Project name 2","2015/16"
"000001323394","Buildings","Footbridge Repairs","Queenstown Road",38,40,502401,"Project name 1","2017/18"
"000001323581","Electrification & Fixed Plant","Ticket Office Refurb","Weybridge",32,35,826897,"Project name 2","2019/20"
"000001323696","discipline 3","Platform 2 Repairs","Botley",457,458,162565,"Project name 1","2019/20"
"000001323402","discipline 3","Canopy and Box Gutter Repairs","LMD Wimbledon LMD",577,578,740541,"Project name 3","2019/20"
"000001323402","discipline 4","Platform PM costs","MDU Guildford ",492,494,668369,"Project name 3","2019/20"
"000001323530","discipline 3","Platform repairs","Raynes Park",524,527,957409,"Project name 2","2018/19"
"000001324726","Electrification & Fixed Plant","Canopy alterations. Contribution to TFL scheme","Chetnole",70,74,520405,"Project name 2","2017/18"
"000001323394","Buildings","Refurbish Fleet Tech Block","Upwey",856,859,761512,"Project name 2","2019/20"
"000001323402","Electrification & Fixed Plant","Platform 2 Repairs","Farncombe",952,954,163867,"Project name 3","2016/17"
"000001323416","Electrification & Fixed Plant","Platform PM costs","Virginia Water",366,368,516988,"Project name 2","2015/16"
"000001323520","discipline 3","Canopy/Station Roof Repairs","Ryde Pier",535,536,249928,"Project name 1","2019/20"
"000001323538","Buildings","Waterproofing works to LUL areas","Ryde Pier",144,148,697855,"Project name 3","2016/17"
"000001323614","Electrification & Fixed Plant","Waterproofing works to LUL areas","Strawberry Hill",459,462,795525,"Project name 3","2015/16"
"000001323532","discipline 4","Platform PM costs","NDS's",361,364,519492,"Project name 3","2016/17"
"000001323416","Buildings","Power Upgrade and HVAC Works (CP4 Unfunded)","Redbridge",365,371,176014,"Project name 3","2016/17"
"000001323688","Electrification & Fixed Plant","Removal of redundant Canopy 03 Structure and supporting columns.","Dorchester South",37,39,897601,"Project name 1","2016/17"
"000001323515","discipline 4","Footbridge Repairs","LMD Wimbledon LMD",649,651,613809,"Project name 2","2016/17"
"000001323688","discipline 4","Platform PM costs","Ryde Pier",711,712,274955,"Project name 3","2017/18"
"000001323627","Electrification & Fixed Plant","Footbridge Repairs","Shepperton",324,328,265259,"Project name 1","2015/16"
"000001323520","discipline 3","Car Park Resurfacing","Ryde Pier",230,232,159133,"Project name 3","2017/18"
"000001323579","Electrification & Fixed Plant","Refurbish Fleet Tech Block","Woking ",540,543,219323,"Project name 3","2017/18"
"000001323393","discipline 4","Ticket Office Refurb","Axminster",742,746,638593,"Project name 1","2015/16"
"000001323383","discipline 4","Refurbish TCS Block","Brentford",720,724,455617,"Project name 3","2015/16"
"000001323393","Buildings","Canopy Repairs","Ashford (Middlesex)",260,264,580114,"Project name 3","2017/18"
"000001323395","Electrification & Fixed Plant","Refurbish TCS Block","Wokingham ",0,2,355916,"Project name 2","2015/16"
"000001323578","Electrification & Fixed Plant","Platform Repairs","Basingstoke",718,719,535900,"Project name 1","2018/19"
"000001323416","Electrification & Fixed Plant","Waterproofing works to LUL areas","NDS Eastleigh LWRD",731,737,808176,"Project name 2","2018/19"
"000001323579","discipline 3","Platform Repairs","NDS Effingham ",486,493,110435,"Project name 3","2019/20"
"000001323614","discipline 3","Canopy alterations. Contribution to TFL scheme","Wimbledon LMD",58,65,405384,"Project name 1","2015/16"
"000001323578","discipline 4","Power Upgrade and HVAC Works (CP4 Unfunded)","LSB Wimbledon ASC",856,864,902150,"Project name 3","2015/16"
"000001323697","Buildings","Canopy repairs","Oxshott",241,242,613626,"Project name 1","2017/18"
"000001323690","Electrification & Fixed Plant","Platform repairs.","Strawberry Hill",125,128,708249,"Project name 2","2018/19"
"000001323522","Buildings","Platform PM costs","St Margarets",419,420,843256,"Project name 2","2018/19"
"000001323393","discipline 4","Station Building Roof Repairs","Fleet and Winchester",471,478,387156,"Project name 1","2015/16"
"000001323382","Electrification & Fixed Plant","Refurbish Fleet Tech Block","Portsmouth Harbour",772,776,402649,"Project name 2","2019/20"
"000001323699","discipline 3","Canopy/Station Roof Repairs","Winnersh Triangle",770,771,201822,"Project name 2","2017/18"
"000001323383","discipline 4","HVAC Renewal","Millbrook",158,164,926952,"Project name 1","2016/17"
"000001323711","discipline 3","Rewire/Relight","Upper Halliford",175,176,785723,"Project name 2","2018/19"
"000001323538","discipline 3","Removal of redundant Canopy 03 Structure and supporting columns.","Egham",471,472,535554,"Project name 3","2018/19"
"000001323515","Electrification & Fixed Plant","Asbestos management surveys","Effingham",81,82,280831,"Project name 1","2016/17"
"000001323519","discipline 4","Refurbish TCS Block","Vauxhall",106,107,384535,"Project name 1","2015/16"
"000001323625","discipline 3","Platform PM costs","Upwey",708,718,966144,"Project name 1","2015/16"
"000001323395","discipline 3","Removal of redundant Canopy 03 Structure and supporting columns.","Crewkerne",529,531,933164,"Project name 1","2015/16"
"000001323520","discipline 4","Rewire/Relight","Crewkerne",425,426,911048,"Project name 3","2017/18"
"000001323519","Electrification & Fixed Plant","Asbestos management surveys","Portchester",446,448,246248,"Project name 2","2016/17"
"000001324741","Buildings","Removal of redundant Canopy 03 Structure and supporting columns.","LSB's",83,89,791061,"Project name 1","2017/18"
"000001323578","Buildings","Platform 2 Repairs","LMD Bournemouth ",389,392,913704,"Project name 2","2016/17"
"000001323614","Buildings","Refurbish Fleet Tech Block","Farncombe",264,272,825226,"Project name 2","2015/16"
"000001323627","discipline 3","Station Building Roof Repairs","MDU Guildford ",615,619,381923,"Project name 3","2019/20"
"000001323381","discipline 4","Rewire/Relight","Effingham",670,680,582884,"Project name 2","2016/17"
"000001323696","discipline 4","Refurbish TCS Block","Axminster",763,764,672774,"Project name 2","2017/18"
"000001323565","Buildings","Glazing Repairs to Concourse Canopy","Millbrook",189,190,556062,"Project name 3","2015/16"
"000001323614","discipline 3","Platform PM costs","Christchurch",952,953,989945,"Project name 3","2016/17"
"000001323520","discipline 4","Platform repairs","Ascot",653,655,799619,"Project name 2","2018/19"
"000001323383","Buildings","Rewire/Relight","Andover",764,771,656436,"Project name 3","2017/18"
"000001324741","discipline 3","Platform PM costs","NDS Eastleigh LWRD",30,33,920104,"Project name 2","2017/18"
"000001323614","discipline 4","Canopy Repairs","Strawberry Hill",873,882,282592,"Project name 1","2016/17"
"000001323529","discipline 4","Platform repairs","Hinton Admiral",654,655,843060,"Project name 1","2019/20"
"000001323627","discipline 4","Footbridge Repairs","Putney",530,534,605664,"Project name 2","2016/17"
"000001324741","discipline 3","Platform 2 Repairs","LMD Wimbledon LMD",882,885,577966,"Project name 1","2019/20"
"000001323579","Buildings","Platform repairs","Hinton Admiral",460,462,112898,"Project name 3","2016/17"
"000001323383","discipline 4","HVAC Renewal","Winchfield",862,864,223420,"Project name 2","2017/18"
"000001323627","discipline 4","Waterproofing works to LUL areas","Templecombe",121,123,554985,"Project name 3","2019/20"
"000001323393","Electrification & Fixed Plant","Footbridge Repairs","NDS's",754,755,576456,"Project name 1","2016/17"
"000001323565","discipline 3","Canopy repairs","NDS Eastleigh LWRD",815,817,434571,"Project name 3","2015/16"
"000001323383","Buildings","Power Upgrade and HVAC Works (CP4 Unfunded)","Micheldever",959,960,296767,"Project name 2","2017/18"
"000001323579","Buildings","Waterproofing works to LUL areas","Pokesdown",261,262,788322,"Project name 3","2017/18"
"000001323696","Buildings","Platform Repairs","Whitchurch",500,501,487026,"Project name 3","2016/17"
"000001323402","discipline 3","Rewire/Relight","Horsley",917,924,124185,"Project name 3","2018/19"
"000001323696","discipline 4","Canopy and Box Gutter Repairs","Hinton Admiral",364,366,863845,"Project name 1","2017/18"
"000001323393","Electrification & Fixed Plant","Ticket Office Refurb","Egham",866,870,870972,"Project name 3","2017/18"
"000001323579","Electrification & Fixed Plant","Footbridge Repairs","LSB Wimbledon ASC",945,946,405267,"Project name 3","2019/20"
"000001323614","Electrification & Fixed Plant","Removal of redundant Canopy 03 Structure and supporting columns.","Ascot",671,674,576805,"Project name 1","2019/20"
"000001323587","discipline 3","Asbestos management surveys","Basingstoke",366,369,240310,"Project name 3","2018/19"
"000001323416","discipline 4","Asbestos management surveys","Farncombe",878,879,583389,"Project name 2","2018/19"
"000001323578","discipline 3","Canopy/Station Roof Repairs","Godalming",574,575,654666,"Project name 2","2018/19"
"000001323529","Electrification & Fixed Plant","Platform repairs.","Upwey",47,48,262997,"Project name 1","2015/16"
"000001323532","Electrification & Fixed Plant","PPM & Reactive MDU L&E","LMD Ryde ",430,431,524307,"Project name 3","2017/18"
"000001323404","Electrification & Fixed Plant","Platform 2 Repairs","Woking ",607,615,827483,"Project name 1","2018/19"
"000001323587","Electrification & Fixed Plant","Canopy repairs","NDS Effingham ",169,177,643703,"Project name 2","2018/19"
"000001323614","Electrification & Fixed Plant","Refurbish TCS Block","Crewkerne",760,762,545815,"Project name 1","2016/17"
"000001323416","discipline 3","PPM & Reactive MDU L&E","Raynes Park",879,880,615817,"Project name 2","2017/18"
"000001323531","discipline 4","Rewire/Relight","London Waterloo",127,128,654104,"Project name 2","2017/18"
"000001323519","discipline 3","Platform repairs","Strawberry Hill",556,558,881206,"Project name 2","2016/17"
"000001323382","Electrification & Fixed Plant","Platform Repairs","NDS Effingham ",740,745,777737,"Project name 2","2015/16"
"000001323578","discipline 4","Footbridge Repairs","Whitchurch",3,8,806184,"Project name 2","2018/19"
"000001323394","Electrification & Fixed Plant","Station Building Roof Repairs","Berrylands",881,883,466847,"Project name 3","2015/16"
"000001324726","Buildings","Waterproofing works to LUL areas","Crewkerne",821,824,758060,"Project name 2","2017/18"
"000001323587","Buildings","Ticket Office Refurb","New Malden",25,27,664805,"Project name 1","2019/20"
"000001323383","discipline 4","Canopy repairs","St Margarets",349,350,218533,"Project name 1","2019/20"
"000001323529","discipline 4","Platform repairs","Upwey",978,983,978189,"Project name 2","2015/16"
"000001323587","Electrification & Fixed Plant","Platform repairs","Godalming",547,548,277830,"Project name 3","2017/18"
"000001323520","discipline 3","Footbridge Repairs","Hinchley Wood",415,417,975921,"Project name 2","2015/16"
"000001323627","Electrification & Fixed Plant","HVAC Renewal","MDU's",845,846,679214,"Project name 2","2015/16"
"000001323394","discipline 3","Footbridge Repairs","Micheldever",953,957,611423,"Project name 2","2019/20"
"000001323395","Electrification & Fixed Plant","Waterproofing works to LUL areas","Walton on Thames",923,926,621778,"Project name 3","2016/17"
"000001323579","discipline 4","Station Building Roof Repairs","Woking ",861,862,677800,"Project name 3","2018/19"
"000001323578","discipline 4","Canopy Repairs","Horsley",541,542,660262,"Project name 1","2016/17"
"000001323520","discipline 3","Footbridge Repairs","Martins Heron",774,775,792320,"Project name 1","2019/20"
"000001323520","Electrification & Fixed Plant","Platform repairs","London Underground Stations",600,601,522266,"Project name 1","2018/19"
"000001323520","Buildings","Footbridge Repairs","Queenstown Road",132,135,915785,"Project name 3","2017/18"
"000001323416","Buildings","Ticket Office Refurb","Southampton Central",152,154,509430,"Project name 1","2018/19"
"000001323688","discipline 4","Canopy and Box Gutter Repairs","Basingstoke",949,954,302815,"Project name 1","2018/19"
"000001323394","discipline 4","Car Park Resurfacing","Thornford",341,345,938295,"Project name 3","2019/20"
"000001323690","Buildings","HVAC Renewal","Micheldever",155,160,158491,"Project name 3","2018/19"
"000001323538","discipline 3","Car Park Resurfacing","Wokingham ",678,686,504494,"Project name 1","2016/17"
"000001323711","discipline 4","Platform repairs","London Underground Stations",370,371,305858,"Project name 1","2016/17"
"000001323381","discipline 4","Platform Repairs","Kew Bridge",818,820,171590,"Project name 2","2019/20"
"000001323416","Electrification & Fixed Plant","Refurbish Fleet Tech Block","Romsey",787,788,301889,"Project name 1","2018/19"
"000001323381","discipline 4","Refurbish TCS Block","Raynes Park",636,640,395078,"Project name 2","2015/16"
"000001323578","discipline 3","HVAC Renewal","Shepperton",491,495,454110,"Project name 1","2018/19"
"000001323394","Electrification & Fixed Plant","Waterproofing works to LUL areas","Botley",827,829,259295,"Project name 1","2017/18"
"000001323521","Electrification & Fixed Plant","Refurbish TCS Block","LSB Wimbledon ASC",500,504,402683,"Project name 3","2015/16"
"000001323519","discipline 3","Canopy/Station Roof Repairs","Hinton Admiral",971,972,716141,"Project name 1","2018/19"
"000001323625","discipline 3","Canopy/Station Roof Repairs","Strawberry Hill",930,931,161146,"Project name 3","2019/20"
"000001323578","Buildings","Canopy/Station Roof Repairs","New Malden",42,45,415829,"Project name 1","2018/19"
"000001323581","Buildings","Footbridge Repairs","Ryde Pier",219,227,605047,"Project name 2","2015/16"
"000001323627","discipline 4","PPM & Reactive MDU L&E","Upwey",851,852,438717,"Project name 3","2018/19"
"000001323394","discipline 4","Platform PM costs","Whitton",832,834,188399,"Project name 1","2017/18"
"000001324741","Electrification & Fixed Plant","Glazing Repairs to Concourse Canopy","Tolworth",172,174,556286,"Project name 2","2015/16"
"000001323532","discipline 3","Canopy alterations. Contribution to TFL scheme","Christchurch",73,82,129190,"Project name 2","2018/19"
"000001323614","Buildings","Station Building Roof Repairs","Ashford (Middlesex)",857,867,571602,"Project name 1","2015/16"
"000001323565","Electrification & Fixed Plant","Platform PM costs","Surbiton",427,428,170793,"Project name 2","2018/19"
"000001323520","Electrification & Fixed Plant","Car Park Resurfacing","Brentford",419,423,951896,"Project name 2","2016/17"
"000001323614","discipline 3","Waterproofing works to LUL areas","Farncombe",226,233,694128,"Project name 1","2017/18"
"000001323394","Electrification & Fixed Plant","Platform PM costs","New Malden",366,367,728659,"Project name 3","2018/19"
"000001323711","Electrification & Fixed Plant","Asbestos management surveys","SSWT Stations",308,313,619696,"Project name 1","2015/16"
"000001323699","Electrification & Fixed Plant","Platform Repairs","MDU Guildford ",502,503,123505,"Project name 1","2018/19"
"000001323402","discipline 4","Footbridge Repairs","Redbridge",622,627,166191,"Project name 3","2015/16"
"000001324726","Electrification & Fixed Plant","Refurbish Fleet Tech Block","Wraysbury",404,407,950821,"Project name 3","2015/16"
"000001323688","discipline 3","Footbridge Repairs","Chetnole",850,857,256029,"Project name 2","2015/16"
"000001323690","Electrification & Fixed Plant","Car Park Resurfacing","Shepperton",277,278,167632,"Project name 2","2019/20"
"000001323515","discipline 4","PPM & Reactive MDU L&E","Egham",822,826,654959,"Project name 1","2019/20"
"000001323587","discipline 3","Waterproofing works to LUL areas","Alton",32,33,683426,"Project name 1","2019/20"
"000001323711","discipline 3","Rewire/Relight","Berrylands",189,199,431767,"Project name 2","2019/20"
"000001324726","Electrification & Fixed Plant","Canopy alterations. Contribution to TFL scheme","Portchester",545,549,297532,"Project name 3","2018/19"
"000001323393","Buildings","Car Park Resurfacing","London Overground Stations",655,662,557852,"Project name 3","2016/17"
"000001323521","discipline 3","HVAC Renewal","Pokesdown",229,237,139380,"Project name 1","2019/20"
"000001323699","discipline 4","Waterproofing works to LUL areas","Various",435,441,806003,"Project name 1","2017/18"
"000001323587","Buildings","Refurbish Fleet Tech Block","Havant",319,322,988944,"Project name 2","2016/17"
"000001323614","discipline 3","Glazing Repairs to Concourse Canopy","Egham",789,790,268435,"Project name 3","2017/18"
"000001323581","Buildings","HVAC Renewal","Basingstoke",476,484,200812,"Project name 3","2017/18"
"000001323627","discipline 3","Platform Repairs","Axminster",54,62,578825,"Project name 1","2019/20"
"000001323625","Electrification & Fixed Plant","Car Park Resurfacing","Wandsworth Town",810,816,621636,"Project name 2","2017/18"
"000001323579","Electrification & Fixed Plant","Rewire/Relight","Windsor & Eton Riverside",430,433,555055,"Project name 2","2015/16"
"000001323519","Buildings","Refurbish Fleet Tech Block","MDU's",93,97,828832,"Project name 1","2017/18"
"000001323519","Electrification & Fixed Plant","Footbridge Repairs","LMD Wimbledon LMD",756,757,396518,"Project name 2","2017/18"
"000001323381","discipline 4","Waterproofing works to LUL areas","LMD Bournemouth ",574,577,651078,"Project name 2","2015/16"
"000001323627","discipline 3","Power Upgrade and HVAC Works (CP4 Unfunded)","Portsmouth Harbour",103,107,814357,"Project name 1","2016/17"
"000001323402","Electrification & Fixed Plant","Canopy repairs","New Malden",375,378,649003,"Project name 1","2017/18"
"000001323578","Buildings","Platform Repairs","Hinchley Wood",786,793,932319,"Project name 2","2018/19"
"000001323529","discipline 3","Asbestos management surveys","Motspur Park",467,469,425153,"Project name 3","2017/18"
"000001323699","Buildings","Asbestos management surveys","Surbiton",996,999,329522,"Project name 3","2018/19"
"000001323530","Electrification & Fixed Plant","Canopy/Station Roof Repairs","Raynes Park",193,195,989423,"Project name 3","2017/18"
"000001323697","discipline 4","Platform repairs.","Micheldever",62,63,713401,"Project name 2","2016/17"
"000001323383","Electrification & Fixed Plant","Asbestos management surveys","London Waterloo",864,867,917610,"Project name 3","2017/18"
"000001323522","Buildings","Canopy alterations. Contribution to TFL scheme","NDS Effingham ",676,678,507400,"Project name 3","2019/20"
"000001323696","discipline 4","HVAC Renewal","Thames Ditton",436,442,421834,"Project name 3","2017/18"
"000001323520","discipline 4","Canopy/Station Roof Repairs","Raynes Park",960,963,191995,"Project name 3","2015/16"
"000001323699","discipline 3","Rewire/Relight","Millbrook",949,951,320829,"Project name 1","2015/16"
"000001323393","discipline 4","Refurbish Fleet Tech Block","Crewkerne",438,439,239087,"Project name 1","2019/20"
"000001323522","discipline 4","Station Building Roof Repairs","Worcester Park",929,930,392911,"Project name 1","2019/20"
"000001323515","discipline 4","Canopy and Box Gutter Repairs","Chetnole",98,102,646031,"Project name 2","2016/17"
"000001323381","discipline 3","Ticket Office Refurb","Effingham",311,319,917672,"Project name 3","2019/20"
"000001323578","discipline 3","PPM & Reactive MDU L&E","Moreton (Dorest)",948,950,192235,"Project name 2","2019/20"
"000001323581","Electrification & Fixed Plant","Car Park Resurfacing","Tolworth",377,380,900970,"Project name 3","2019/20"
"000001323578","discipline 3","Canopy alterations. Contribution to TFL scheme","Shawford",854,858,621917,"Project name 1","2019/20"
"000001323699","discipline 4","Ticket Office Refurb","Shepperton",875,876,477088,"Project name 2","2017/18"
"000001323581","Buildings","Refurbish TCS Block","Worcester Park",801,804,593428,"Project name 1","2016/17"
"000001323515","discipline 4","HVAC Renewal","LMD's",298,302,204153,"Project name 1","2018/19"
"000001323416","Electrification & Fixed Plant","Platform 2 Repairs","Ryde Pier",43,45,560112,"Project name 2","2016/17"
"000001323393","discipline 3","HVAC Renewal","Sunnymeads",890,896,190275,"Project name 2","2015/16"
"000001323393","discipline 3","Platform repairs","LMD Basingstoke",714,717,313307,"Project name 1","2015/16"
"000001323690","discipline 4","Waterproofing works to LUL areas","Godalming",575,577,395330,"Project name 1","2018/19"
"000001323383","discipline 4","Canopy/Station Roof Repairs","Portchester",803,804,584055,"Project name 3","2018/19"
"000001323530","discipline 3","Canopy repairs","LMD's",109,115,983021,"Project name 1","2017/18"
"000001323393","Electrification & Fixed Plant","Car Park Resurfacing","London Overground Stations",124,128,366456,"Project name 3","2019/20"
"000001323699","Electrification & Fixed Plant","Refurbish TCS Block","New Malden",951,952,933239,"Project name 2","2019/20"
"000001323531","Electrification & Fixed Plant","PPM & Reactive MDU L&E","Windsor & Eton Riverside",664,669,926072,"Project name 1","2015/16"
"000001323519","discipline 4","Platform repairs","New Malden",572,576,350659,"Project name 2","2019/20"
"000001323627","discipline 4","PPM & Reactive MDU L&E","Upper Halliford",115,117,719156,"Project name 2","2018/19"
"000001323529","Electrification & Fixed Plant","Glazing Repairs to Concourse Canopy","Hinton Admiral",858,860,792921,"Project name 2","2018/19"
"000001323393","discipline 4","Platform repairs.","Walton on Thames",157,159,775048,"Project name 1","2015/16"
"000001323697","discipline 3","Removal of redundant Canopy 03 Structure and supporting columns.","LMD Wimbledon LMD",629,640,290496,"Project name 2","2019/20"
"000001323521","Electrification & Fixed Plant","Station Building Roof Repairs","Sunbury",345,346,349167,"Project name 2","2018/19"
"000001323699","discipline 4","Rewire/Relight","Winchfield",288,291,810179,"Project name 2","2017/18"
"000001323532","discipline 3","Waterproofing works to LUL areas","Wimbledon LMD",669,670,509603,"Project name 3","2019/20"
"000001323402","discipline 3","Canopy/Station Roof Repairs","Windsor & Eton Riverside",573,574,128999,"Project name 2","2015/16"
"000001323383","discipline 3","Footbridge Repairs","Motspur Park",473,474,146027,"Project name 2","2015/16"
"000001323565","Electrification & Fixed Plant","Platform PM costs","Alton",369,371,239965,"Project name 3","2018/19"
"000001323393","discipline 3","Removal of redundant Canopy 03 Structure and supporting columns.","London Waterloo",647,648,971834,"Project name 2","2017/18"
"000001323402","Buildings","Platform Repairs","Portchester",963,964,993387,"Project name 1","2015/16"
"000001323578","Electrification & Fixed Plant","Glazing Repairs to Concourse Canopy","Chertsey",511,516,854260,"Project name 3","2019/20"
"000001323587","Buildings","Refurbish TCS Block","Effingham Junction",299,304,172158,"Project name 1","2016/17"
"000001323532","Buildings","Refurbish TCS Block","Walton on Thames",996,1003,542518,"Project name 1","2016/17"
