ID,Asset ID,Asset Discipline,Asset Roll-Up,Asset Key Cost Line,Asset Key Volume Line,Asset Work Description,Location,Start ELR,Start Mileage,Start Yards,End ELR,End Mileage,End Yards,TID,Remit Status,Deliverer,Project Number,Project Name,Delivery Year ,Volume,Volume CP4 Rollover,"Volume FY 2014/15","Volume FY 2015/16","Volume FY 2016/17","Volume FY 2017/18","Volume FY 2018/19",Total Volume,Funding Source,"Budget CP4 Rollover(£K)","Budget FY 2014/15(£K)","Budget FY 2015/16(£K)","Budget FY 2016/17(£K)","Budget FY 2017/18(£K)","Budget FY 2018/19(£K)","AFC(£K)"
WEX - 000082,2/55,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Refurbishment of poor condition underbridge,Station Road (Esher),BML1,14,0685,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,82,,0,0,0,0,82,82,Structures,,,,,18.00,161.00,179.00
WEX - 000083,2/119,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Repair,Repair and refurbishment of poor condition overbridge - brick repairs and painting,Old Potbridge Road,BML1,40,0669,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,45,,0,0,45,0,0,45,Structures,,,14.00,129.00,,,143.00
WEX - 000084,2/119,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,Repair and refurbishment of poor condition overbridge - brick repairs and painting,Old Potbridge Road,BML1,40,0669,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,25,,0,0,25,0,0,25,Structures,,,5.00,45.00,,,50.00
WEX - 000085,17A/22,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,"Strenthen, repair and refurbishment of viaduct super/substructure including repairs to undermined pile caps",Portsmouth Harbour Pier,WPH2,45,0547,,0,,,Unremitted,IP Wessex: B&C ,117219,Portsmouth Harbour Pier Repairs,2015/16,"2,117",,0,"2,117",0,0,0,2117,Structures,,"2,914.00","2,746.00",,,,"5,660.00"
WEX - 000086,17A/22,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,"Strenthen, repair and refurbishment of viaduct super/substructure including repairs to undermined pile caps",Portsmouth Harbour Pier,WPH2,45,0547,,0,,,Unremitted,IP Wessex: B&C ,117219,Portsmouth Harbour Pier Repairs,2016/17,"2,117",,"2,117",0,0,0,0,2117,Structures,,"1,500.00",432.00,,,,"1,932.00"
WEX - 000087,7/36,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Strengthen,Removal of understrength footbridge - stengthen and refurbish,Hounslow Footbridge,HOU,13,0725,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,45,,0,45,0,0,0,45,Structures,,49.00,110.00,,,,159.00
WEX - 000088,7/36,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Preventative,Removal of understrength footbridge - stengthen and refurbish,Hounslow Footbridge,HOU,13,0725,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,60,,0,60,0,0,0,60,Structures,,40.00,117.00,,,,157.00
WEX - 000089,13/14,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Strengthen,Removal of understrength footbridge - stengthen and refurbish,Wheeler's Lane Footbridge,BTH3,14,1439,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,37,,0,0,0,37,0,37,Structures,,,,12.00,105.00,,117.00
WEX - 000090,7/13,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Strengthen,"Removal of understrength footbridge - stengthen, repair and refurbish",Brook Lane Footbridge,HOU,9,0602,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,23,,0,23,0,0,0,23,Structures,,33.00,61.00,,,,94.00
WEX - 000091,7/13,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,"Removal of understrength footbridge - stengthen, repair and refurbish",Brook Lane Footbridge,HOU,9,0602,,0,,,Unremitted,IP Wessex: B&C ,142351,CP5 Bridge Renewals - Pkg2,2015/16,53,,0,53,0,0,0,53,Structures,,41.00,246.00,,,,287.00
WEX - 000092,7/11,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Strengthen,Removal of understrength footbridge - stengthen and refurbish,Dean's Lane Footbridge,HOU,9,0169,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,39,,0,0,39,0,0,39,Structures,,,11.00,97.00,,,108.00
WEX - 000093,7/11,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Preventative,Removal of understrength footbridge - stengthen and refurbish,Dean's Lane Footbridge,HOU,9,0169,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,20,,0,0,20,0,0,20,Structures,,,7.00,69.00,,,76.00
WEX - 000094,Various,Structures,Structures - Coastal & Estuarial Defences,Structures - Coastal & Estuarial Defences,Structures - Repair,Repair of sea defence embankment retaining walls at Poole Harbour ,Poole Harbour Sea Defences,BML2,114,1164,,115,0484,,Remitted,IP Wessex: B&C ,134664,Poole Harbour Sea Defences,2016/17,"1,700",,0,0,"1,700",0,0,1700,Structures,,326.00,,"1,535.00",,,"1,861.00"
WEX - 000095,1/W18,Structures,Structures - Retaining Wall,Structures - Retaining Wall,Structures - Replace,Repair or replacement of failed retaining wall,Retaining wall BML1 4.0528 1/W18 Clapham Jct to Earlsfield,BML1,4,0528,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,463,,0,0,463,0,0,463,Structures,,92.00,0.00,829.00,,,921.00
WEX - 000096,E2/25,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Replacement of poor condition short span trough underbridge,Bishop's Dyke No.1 BML2 88.1360,BML2,88,1360,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,29,,0,0,29,0,0,29,Structures,,,37.00,342.00,,,379.00
WEX - 000097,E2/27,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Replacement of poor condition short span trough underbridge,Lower Bishop's Dyke BML2 89.0244,BML2,89,0244,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,30,,0,0,30,0,0,30,Structures,,,38.00,349.00,,,387.00
WEX - 000098,E4/352,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Replacement of poor condition short span trough underbridge,Wyke Farm BAE2 120.1187,BAE2,120,1187,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,32,,0,0,0,0,0,0,Structures,,,,,40.00,,40.00
WEX - 000099,E1/171,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge -Reconstruction of superstructure,"Didcot Line (removed) - underbridge BML1 64.0698",BML1,64,0698,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,255,,0,0,0,0,255,255,Structures,,,,,153.00,"1,428.00","1,581.00"
WEX - 000100,E4/180,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - reconstruction of metallic span ,Walworth Road Underbridge,BAE1,64,1553,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,37,,0,0,0,0,37,37,Structures,,,,,44.00,402.00,446.00
WEX - 000101,E4/277,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - Reconstruction of superstructure,Tisbury Row Road ,BAE2,95,1312,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,0,,0,0,0,0,0,0,Structures,,,,,40.00,,40.00
WEX - 000102,E4/367,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition trough underbridge - Reconstruction of superstructure,Stoford Road,BAE2,123,0293,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,43,,0,0,0,0,43,43,Structures,,,,,49.00,443.00,492.00
WEX - 000103,E1/141,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepancy underbridge - Reconstruction of metallic span,Andover Road,BML1,49,1564,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,160,,0,0,160,0,0,160,Structures,,,112.00,"1,022.00",,,"1,134.00"
WEX - 000104,E19/6,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment,Passford (Ampress) - Lymington Branch,BLP,96,1271,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,50,,0,0,50,0,0,50,Structures,,,10.00,94.00,,,104.00
WEX - 000105,E4/231,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment,Castle Street,BAE1,82,1697,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,51,,0,0,51,0,0,51,Structures,,,12.00,106.00,,,118.00
WEX - 000106,E4/231,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Improvement in asset condition - repair and refurbishment,Castle Street,BAE1,82,1697,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,51,,0,0,51,0,0,51,Structures,,,17.00,150.00,,,167.00
WEX - 000107,E4/200,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,Refurbishment and repair of poor condition overbridge - possible replacement with FB,Hampshire Gap,BAE1,74,0678,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,229,,0,0,0,0,0,0,Structures,,,,,,19.00,19.00
WEX - 000108,E4/467,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment,Cotleigh Road (Northcote Road),BAE2,153,1632,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,68,,0,0,68,0,0,68,Structures,,,12.00,106.00,,,118.00
WEX - 000109,E4/240,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment of spans carrying live load,Ashfield Road,BAE2,84,0066,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,45,,0,0,45,0,0,45,Structures,,,10.00,89.00,,,99.00
WEX - 000110,E4/472,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment,New Street,BAE2,154,1193,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,106,,0,0,106,0,0,106,Structures,,,14.00,128.00,,,142.00
WEX - 000111,17A/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Repair and refurbishment of poor condition viaduct,Portcreek Viaduct,WPH2,41,0075,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,343,,0,0,343,0,0,343,Structures,,,34.00,303.00,,,337.00
WEX - 000112,17A/3,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Repair and refurbishment of poor condition viaduct,Portcreek Viaduct,WPH2,41,0075,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,20,,0,0,20,0,0,20,Structures,,,9.00,81.00,,,90.00
WEX - 000113,17A/15,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of fatigue susceptable detail / repair and refurbishment of structure,Commercial Road - box girder bridge,WPH2,44,1104,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,190,,0,0,190,0,0,190,Structures,,,23.00,207.00,,,230.00
WEX - 000114,17A/15,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Removal of fatigue susceptable detail / repair and refurbishment of structure,Commercial Road - box girder bridge,WPH2,44,1104,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,10,,0,0,10,0,0,10,Structures,,,6.00,48.00,,,54.00
WEX - 000115,17A/15,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of fatigue susceptable detail / repair and refurbishment of structure,Commercial Road - box girder bridge,WPH2,44,1104,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,70,,0,0,70,0,0,70,Structures,,,19.00,164.00,,,183.00
WEX - 000116,1/A32,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - repair and refurbishment,South Lambeth Road Bridge,BML1,1,0783,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,66,,0,0,66,0,0,66,Structures,,,11.00,105.00,,,116.00
WEX - 000117,17/25D,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Replace,Removal of poor condition footbridge - reconstruction,Silo Road Pedestrian Bridge,WPH1,33,0453,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,49,,0,0,49,0,0,49,Structures,,,228.00,159.00,,,387.00
WEX - 000118,17/49B,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Strengthening and refurbishment of understrength and poor condition footbridge,Pedestrian Bridge,WPH1,43,0713,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,39,,0,0,39,0,0,39,Structures,,,25.00,230.00,,,255.00
WEX - 000120,E2/40,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Refurbishment and repair of poor condition footbridge,Footbridge At Church Path,BML2,92,1544,,0,,,Unremitted,IP Wessex: B&C ,,,2016/17,70,,0,0,70,0,0,70,Structures,,,29.00,266.00,,,295.00
WEX - 000121,17/6,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure and abutment repairs,River Bourne (Stamford Brook),WPH1,26,0740,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,58,,0,0,0,58,0,58,Structures,,,,71.00,648.00,,719.00
WEX - 000122,17/89,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure,Buriton Road (Kiln Lane),WPH1,57,0411,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,51,,0,0,0,51,0,51,Structures,,,,59.00,531.00,,590.00
WEX - 000123,2/67A,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Superstructure renewal of deck carrying up and down lines,Walton on Thames Subway,BML1,17,0110,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,56,,0,0,0,56,0,56,Structures,,,,63.00,563.00,,626.00
WEX - 000124,5/2,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure,Water Main Bridge (up Line),NMS1,10,0374,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,175,,0,0,0,175,0,175,Structures,,,,130.00,"1,171.00",,"1,301.00"
WEX - 000125,5/2A,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure,Water Main Bridge (dn Line),NMS1,10,0384,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,105,,0,0,0,105,0,105,Structures,,,,94.00,844.00,,938.00
WEX - 000126,3/7,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure (metallic span),Canal Bridge,RDG1,4,1633,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,0,,0,0,0,0,0,0,Structures,,,,189.00,,,189.00
WEX - 000127,3/8,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition underbridge - replacement of superstructure (metallic span),River Wandle,RDG1,4,1702,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,315,,0,0,0,315,0,315,Structures,,,,205.00,"1,845.00",,"2,050.00"
WEX - 000128,17/86,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepancy underbridge - Reconstruction of superstructure,Weston Road,WPH1,56,0591,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,54,,0,0,0,54,0,54,Structures,,,,61.00,551.00,,612.00
WEX - 000129,2/13,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Improvement in asset condition - replacement / refurbishment / repair of underbridge,Latchmere Road Bridge,BML1,3,0940,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,38,,0,0,0,38,0,38,Structures,,,,49.00,440.00,,489.00
WEX - 000130,2/13,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Improvement in asset condition - replacement / refurbishment / repair of underbridge,Latchmere Road Bridge,BML1,3,0940,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,348,,0,0,0,348,0,348,Structures,,,,29.00,261.00,,290.00
WEX - 000131,2/13,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Improvement in asset condition - replacement / refurbishment / repair of underbridge,Latchmere Road Bridge,BML1,3,0940,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,6,,0,0,0,6,0,6,Structures,,,,8.00,71.00,,79.00
WEX - 000132,3/4,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of maintenance liability - longitudinal wheel timber structure with poor track/structure interface,Bramford Road,RDG1,4,1133,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,0,,0,0,0,0,0,0,Structures,,,,186.00,,,186.00
WEX - 000133,2/W42,Structures,Structures - Retaining Wall,Structures - Retaining Wall,Structures - Replace,Repair or replacement of failed retaining wall,Retaining wall BML1 11.0571 1/W42 Berryland - Surbiton,BML1,11,0571,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,778,,0,0,0,778,0,778,Structures,,,,70.00,632.00,,702.00
WEX - 000134,2/W42A,Structures,Structures - Retaining Wall,Structures - Retaining Wall,Structures - Replace,Repair or replacement of failed retaining wall,Retaining wall BML1 11.0616 1/W42A Berryland - Surbiton,BML1,11,0616,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,562,,0,0,0,0,562,562,Structures,,,,,56.00,510.00,566.00
WEX - 000135,E4/236,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Fisherton Street -Salisbury,BAE1,83,0698,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,137,,0,0,0,137,0,137,Structures,,,,26.00,241.00,,267.00
WEX - 000136,E4/236,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Fisherton Street -Salisbury,BAE1,83,0698,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,21,,0,0,0,21,0,21,Structures,,,,8.00,71.00,,79.00
WEX - 000137,E20/8,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,"Strengthen, repair, refurbishment of poor condition underbridge",Stourvale Road,BML2,105,0717,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,88,,0,0,0,88,0,88,Structures,,,,14.00,128.00,,142.00
WEX - 000138,E20/8,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,"Strengthen, repair, refurbishment of poor condition underbridge",Stourvale Road,BML2,105,0717,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,18,,0,0,0,18,0,18,Structures,,,,11.00,99.00,,110.00
WEX - 000139,E20/16,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,Removal of heavily corroded redundant girders and refurbishment of structure,Milton Road,BML2,108,0676,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,219,,0,0,0,219,0,219,Structures,,,,20.00,176.00,,196.00
WEX - 000140,E30/226,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Removal of weak overbridge - replacement of superstructure,Lorton Road,BML3,166,1109,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,58,,0,0,0,0,0,0,Structures,,,,,,68.00,68.00
WEX - 000144,E29/43,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,"Removal of discrepency/ marginal underbridge - strengthen, repair and refurbish",Sherrington Viaduct,SAL,121,0566,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,244,,0,0,0,0,244,244,Structures,,,,,22.00,194.00,216.00
WEX - 000146,17/16,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Strengthen,Strengthening and refurbishment of understrength and poor condition overbridge,Farnham Road,WPH1,30,0740,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,369,,0,0,0,369,0,369,Structures,,,,111.00,"1,003.00",,"1,114.00"
WEX - 000147,31/33,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepency / marginal underbridge - replacement of superstructure,Reading Road,BKE,49,1426,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,144,,0,0,0,144,0,144,Structures,,,,115.00,"1,033.00",,"1,148.00"
WEX - 000148,2/125,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Strengthen,Removal of weak overbridge - strengthen and refurbishment,High Bridge (King's),BML1,43,0143,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,98,,0,0,0,0,0,0,Structures,,,,,,27.00,27.00
WEX - 000149,1/A4,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Maintain asset condition - preventative works to represent LWLC,Westminster Bridge Road,BML1,0,0492,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,600,,0,0,0,600,0,600,Structures,,,,55.00,552.00,,607.00
WEX - 000150,2/104,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Strengthen,Strengthening and refurbishment of understrength and poor condition footbridge,Church (Monk's) Pedestrian bridge,BML1,32,1454,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,26,,0,0,0,26,0,26,Structures,,,,8.00,78.00,,86.00
WEX - 000151,2/104,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Preventative,Strengthening and refurbishment of understrength and poor condition footbridge,Church (Monk's) Pedestrian bridge,BML1,32,1454,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,26,,0,0,0,26,0,26,Structures,,,,10.00,89.00,,99.00
WEX - 000152,E1/209C,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Repair and refurbishment of poor condition footbridge,Mount Pleasant Crossing Footbridge,BML1,77,1181,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,97,,0,0,0,97,0,97,Structures,,,,32.00,291.00,,323.00
WEX - 000153,2/128B,Structures,Structures - Footbridges,Structures - Footbridges,Structures - Repair,Repair and refurbishment of poor condition footbridge,Riley Stile Pedestrian bridge,BML1,45,1022,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,54,,0,0,0,54,0,54,Structures,,,,31.00,278.00,,309.00
WEX - 000154,E11/17,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepency / marginal underbridge - replacement of superstructure,Stockbridge Road (Greatbridge Road),RTJ2,80,1585,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,303,,0,0,0,0,303,303,Structures,,,,,192.00,"1,736.00","1,928.00"
WEX - 000155,E9/36,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Removal of cast iron understrength overbridge - replacement of superstructure,Barber's (Church Lane),RTJ2,21,0741,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,60,,0,0,0,0,0,0,Structures,,,,,72.00,,72.00
WEX - 000156,E16/16,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition trough underbridge - replacement of superstructure,Cow Lane,SDP2,89,0904,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,37,,0,0,0,0,0,0,Structures,,,,,50.00,,50.00
WEX - 000157,19/1399,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepency / marginal underbridge - replacement of superstructure,London Road Bridge,RDG2,67,0756,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,170,,0,0,0,0,0,0,Structures,,,,,133.00,,133.00
WEX - 000158,19/1331,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition wheel timber underbridge - replacement of superstructure,River Blackwater,GTW2,51,0890,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,47,,0,0,0,0,47,47,Structures,,,,,68.00,608.00,676.00
WEX - 000159,13/73,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition wheel timber underbridge - replacement of superstructure,Fredley Road (Footpath),BTH3,20,1386,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,26,,0,0,0,0,26,26,Structures,,,,,40.00,360.00,400.00
WEX - 000160,16/10,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition trough underbridge - replacement,Addlestone Moor (Cattle Creep),VWW,21,0734,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,28,,0,0,0,0,28,28,Structures,,,,,41.00,377.00,418.00
WEX - 000161,3/73,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition wheel timber underbridge - replacement of superstructure,Old Station Flood,SWE,21,1329,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,59,,0,0,0,0,59,59,Structures,,,,,68.00,608.00,676.00
WEX - 000162,E9/30,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition wheel timber underbridge - replacement of superstructure,Winchester Road (Romsey),RTJ1,18,0608,,0,,,Unremitted,IP Wessex: B&C ,,,2017/18,90,,0,0,0,0,,0,Structures,,,,,88.00,,88.00
WEX - 000163,23/21,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition wheel timber underbridge - replacement of superstructure,Lower Weybourne Lane / Badshot Lea Bridge,PAA1,36,0089,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,70,,0,0,0,0,70,70,Structures,,,,,75.00,679.00,754.00
WEX - 000168,17/100,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of discrepency / marginal underbridge - replacement of superstructure,Dean Lane End,WPH1,62,0586,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,67,,0,0,0,0,67,67,Structures,,,,,41.00,416.00,457.00
WEX - 000169,3/9,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Replace,Removal of poor condition  underbridge - replacement of metallic span or refurb,Bell Lane (Wandsworth Creek),RDG1,5,0039,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,342,,0,0,0,0,342,342,Structures,,,,,208.00,"1,877.00","2,085.00"
WEX - 000170,5/11,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Preventative,Removal of poor condition  underbridge - repair and refurbishment,Lower Ham Road Bridge,NMS1,12,0418,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,19,,0,0,0,0,19,19,Structures,,,,,15.00,133.00,148.00
WEX - 000171,5/11,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Repair,Removal of poor condition  underbridge - repair and refurbishment,Lower Ham Road Bridge,NMS1,12,0418,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,22,,0,0,0,0,22,22,Structures,,,,,8.00,75.00,83.00
WEX - 000172,13/21B,Structures,Structures - Underbridges,Structures - Underbridges,Structures - Strengthen,Removal of discrepency / marginal underbridge - strengthen and refurbishment,Station Road (Leatherhead),BTH3,18,0339,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,82,,0,0,0,0,82,82,Structures,,,,,22.00,199.00,221.00
WEX - 000173,3/28,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Replace,Removal of cast iron understrength overbridge - replacement of superstructure,Church Road,RDG1,9,1122,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,89,,0,0,0,0,0,0,Structures,,,,,,93.00,93.00
WEX - 000174,E1/201D,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Strengthen,Removal of weak overbridge - strengthen and refurbishment,Campbell Road (Locomotive Works),BML1,73,1310,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,214,,0,0,0,0,214,214,Structures,,,,,65.00,585.00,650.00
WEX - 000175,E4/187,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Strengthen,Removal of weak overbridge - strengthen and refurbishment,Millway Road,BAE1,66,0727,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,149,,0,0,0,0,0,0,Structures,,,,,,44.00,44.00
WEX - 000176,E4/187,Structures,Structures - Overbridges,Structures - Overbridges,Structures - Preventative,Removal of weak overbridge - strengthen and refurbishment,Millway Road,BAE1,66,0727,,0,,,Unremitted,IP Wessex: B&C ,,,2018/19,149,,0,0,0,0,0,0,Structures,,,,,,16.00,16.00
